timestamp,gpu_util_pct,torch_alloc_mb,torch_reserved_mb,sys_mem_used_mb,sys_mem_total_mb
2026-05-18T03:36:43+0000,96,0.0,0.0,15283,122479
2026-05-18T03:36:58+0000,96,0.0,0.0,27047,122479
2026-05-18T03:37:13+0000,96,0.0,0.0,40701,122479
2026-05-18T03:37:28+0000,16,0.0,0.0,16017,122479
2026-05-18T03:37:43+0000,96,0.0,0.0,16284,122479
2026-05-18T03:37:58+0000,96,0.0,0.0,34075,122479
2026-05-18T03:38:13+0000,38,0.0,0.0,31196,122479
2026-05-18T03:38:29+0000,96,0.0,0.0,42414,122479
2026-05-18T03:38:44+0000,0,0.0,0.0,44111,122479
2026-05-18T03:38:59+0000,73,0.0,0.0,14906,122479
2026-05-18T03:39:14+0000,96,0.0,0.0,35914,122479
2026-05-18T03:39:29+0000,96,0.0,0.0,27356,122479
2026-05-18T03:39:44+0000,96,0.0,0.0,17925,122479
2026-05-18T03:39:59+0000,96,0.0,0.0,34052,122479
2026-05-18T03:40:14+0000,96,0.0,0.0,34120,122479
2026-05-18T03:40:30+0000,96,0.0,0.0,15402,122479
2026-05-18T03:40:45+0000,96,0.0,0.0,34202,122479
2026-05-18T03:41:00+0000,96,0.0,0.0,20367,122479
2026-05-18T03:41:15+0000,96,0.0,0.0,34937,122479
2026-05-18T03:41:30+0000,96,0.0,0.0,34474,122479
2026-05-18T03:41:45+0000,96,0.0,0.0,15636,122479
2026-05-18T03:42:00+0000,96,0.0,0.0,15417,122479
2026-05-18T03:42:15+0000,96,0.0,0.0,25628,122479
2026-05-18T03:42:30+0000,7,0.0,0.0,23354,122479
2026-05-18T03:42:45+0000,96,0.0,0.0,16554,122479
2026-05-18T03:43:00+0000,96,0.0,0.0,34372,122479
2026-05-18T03:43:15+0000,96,0.0,0.0,35022,122479
2026-05-18T03:43:30+0000,96,0.0,0.0,16704,122479
2026-05-18T03:43:46+0000,96,0.0,0.0,34371,122479
2026-05-18T03:44:01+0000,96,0.0,0.0,34396,122479
2026-05-18T03:44:16+0000,96,0.0,0.0,20034,122479
2026-05-18T03:44:31+0000,94,0.0,0.0,35134,122479
2026-05-18T03:44:46+0000,96,0.0,0.0,35034,122479
2026-05-18T03:45:01+0000,96,0.0,0.0,15139,122479
2026-05-18T03:45:16+0000,96,0.0,0.0,14996,122479
2026-05-18T03:45:31+0000,96,0.0,0.0,30371,122479
2026-05-18T03:45:46+0000,96,0.0,0.0,30392,122479
2026-05-18T03:46:01+0000,96,0.0,0.0,23950,122479
2026-05-18T03:46:17+0000,96,0.0,0.0,17571,122479
2026-05-18T03:46:32+0000,19,0.0,0.0,24367,122479
2026-05-18T03:46:47+0000,96,0.0,0.0,29676,122479
2026-05-18T03:47:02+0000,95,0.0,0.0,15513,122479
2026-05-18T03:47:17+0000,96,0.0,0.0,30378,122479
2026-05-18T03:47:33+0000,96,0.0,0.0,25112,122479
2026-05-18T03:47:48+0000,96,0.0,0.0,16512,122479
2026-05-18T03:48:03+0000,96,0.0,0.0,34952,122479
2026-05-18T03:48:18+0000,96,0.0,0.0,35056,122479
2026-05-18T03:48:34+0000,96,0.0,0.0,15521,122479
2026-05-18T03:48:49+0000,96,0.0,0.0,34257,122479
2026-05-18T03:49:04+0000,96,0.0,0.0,27689,122479
2026-05-18T03:49:19+0000,38,0.0,0.0,14193,122479
2026-05-18T03:49:35+0000,96,0.0,0.0,34314,122479
2026-05-18T03:49:50+0000,96,0.0,0.0,17529,122479
2026-05-18T03:50:05+0000,96,0.0,0.0,34365,122479
2026-05-18T03:50:20+0000,96,0.0,0.0,34371,122479
2026-05-18T03:50:35+0000,96,0.0,0.0,15793,122479
2026-05-18T03:50:50+0000,96,0.0,0.0,34769,122479
2026-05-18T03:51:05+0000,96,0.0,0.0,15613,122479
2026-05-18T03:51:20+0000,96,0.0,0.0,34840,122479
2026-05-18T03:51:35+0000,96,0.0,0.0,14202,122479
2026-05-18T03:51:50+0000,57,0.0,0.0,10603,122479
2026-05-18T03:52:05+0000,96,0.0,0.0,25710,122479
2026-05-18T03:52:20+0000,26,0.0,0.0,12769,122479
2026-05-18T03:52:35+0000,96,0.0,0.0,13352,122479
2026-05-18T03:52:51+0000,96,0.0,0.0,13092,122479
2026-05-18T03:53:06+0000,96,0.0,0.0,24867,122479
2026-05-18T03:53:21+0000,35,0.0,0.0,11899,122479
2026-05-18T03:53:36+0000,0,0.0,0.0,23842,122479
2026-05-18T03:53:51+0000,96,0.0,0.0,15200,122479
2026-05-18T03:54:06+0000,96,0.0,0.0,38173,122479
2026-05-18T03:54:21+0000,96,0.0,0.0,34931,122479
2026-05-18T03:54:36+0000,96,0.0,0.0,19115,122479
2026-05-18T03:54:51+0000,96,0.0,0.0,17568,122479
2026-05-18T03:55:06+0000,22,0.0,0.0,13623,122479
2026-05-18T03:55:21+0000,0,0.0,0.0,48616,122479
2026-05-18T03:55:37+0000,96,0.0,0.0,22320,122479
2026-05-18T03:55:52+0000,65,0.0,0.0,36649,122479
2026-05-18T03:56:08+0000,0,0.0,0.0,31128,122479
2026-05-18T03:56:23+0000,96,0.0,0.0,21317,122479
2026-05-18T03:56:38+0000,96,0.0,0.0,54978,122479
2026-05-18T03:56:53+0000,96,0.0,0.0,25224,122479
2026-05-18T03:57:08+0000,96,0.0,0.0,56604,122479
2026-05-18T03:57:23+0000,96,0.0,0.0,57601,122479
2026-05-18T03:57:38+0000,96,0.0,0.0,24089,122479
2026-05-18T03:57:53+0000,96,0.0,0.0,34367,122479
2026-05-18T03:58:08+0000,96,0.0,0.0,23063,122479
2026-05-18T03:58:23+0000,96,0.0,0.0,36059,122479
2026-05-18T03:58:38+0000,96,0.0,0.0,30832,122479
2026-05-18T03:58:53+0000,96,0.0,0.0,51955,122479
2026-05-18T03:59:08+0000,96,0.0,0.0,21696,122479
2026-05-18T03:59:23+0000,96,0.0,0.0,55865,122479
2026-05-18T03:59:38+0000,96,0.0,0.0,25561,122479
2026-05-18T03:59:54+0000,96,0.0,0.0,57443,122479
2026-05-18T04:00:09+0000,96,0.0,0.0,25881,122479
2026-05-18T04:00:24+0000,96,0.0,0.0,58282,122479
2026-05-18T04:00:39+0000,96,0.0,0.0,26393,122479
2026-05-18T04:00:54+0000,96,0.0,0.0,60033,122479
2026-05-18T04:01:09+0000,96,0.0,0.0,26737,122479
2026-05-18T04:01:24+0000,96,0.0,0.0,60858,122479
2026-05-18T04:01:39+0000,96,0.0,0.0,27551,122479
2026-05-18T04:01:54+0000,0,0.0,0.0,63425,122479
2026-05-18T04:02:09+0000,96,0.0,0.0,48948,122479
2026-05-18T04:02:24+0000,96,0.0,0.0,25567,122479
2026-05-18T04:02:39+0000,96,0.0,0.0,64587,122479
2026-05-18T04:02:54+0000,96,0.0,0.0,28474,122479
2026-05-18T04:03:09+0000,96,0.0,0.0,66138,122479
2026-05-18T04:03:24+0000,96,0.0,0.0,24908,122479
2026-05-18T04:03:39+0000,96,0.0,0.0,39441,122479
2026-05-18T04:03:55+0000,96,0.0,0.0,24061,122479
2026-05-18T04:04:10+0000,96,0.0,0.0,66197,122479
2026-05-18T04:04:25+0000,96,0.0,0.0,64965,122479
2026-05-18T04:04:40+0000,96,0.0,0.0,27411,122479
2026-05-18T04:04:55+0000,96,0.0,0.0,32183,122479
2026-05-18T04:05:10+0000,96,0.0,0.0,48059,122479
2026-05-18T04:05:25+0000,96,0.0,0.0,28772,122479
2026-05-18T04:05:40+0000,96,0.0,0.0,33679,122479
2026-05-18T04:05:55+0000,3,0.0,0.0,50205,122479
2026-05-18T04:06:10+0000,96,0.0,0.0,58828,122479
2026-05-18T04:06:27+0000,96,0.0,0.0,79449,122479
2026-05-18T04:06:42+0000,2,0.0,0.0,49846,122479
2026-05-18T04:06:57+0000,57,0.0,0.0,17925,122479
2026-05-18T04:07:12+0000,96,0.0,0.0,79190,122479
2026-05-18T04:07:27+0000,2,0.0,0.0,79685,122479
2026-05-18T04:07:42+0000,0,0.0,0.0,55138,122479
2026-05-18T04:07:57+0000,96,0.0,0.0,32708,122479
